mc,ramp,capacity,ner,ser,cer,cher
123.811562,19.6,19.6,15.734,8.932,2888.802,116.982
123.958331,3.6,3.6,56.667,5.167,2892.25,117.121
125.3,396,440,5.868,3.676,3850.448,140.143
125.3680089,1205.82,1339.8,5.868,3.676,3850.448,140.143
126.65,47.6,47.6,11.67,1.827,2955.059,109.362
126.651266,54,54,11.67,1.827,2955.059,109.362
130.17,53,53,11.994,1.878,3037.161,110.994
130.170082,54,54,11.994,1.878,3037.161,110.994
131.162262,222,222,15.195,88.108,3818.124,444.271
131.4333246,45.36,75.6,27.832,143.955,23734.264,2794.507
142.3997151,190.8,212,7.001,5.93,4756.596,194.189
143.888892,80,80,12.444,1.156,3357.244,62.66
144.546416,10.8,10.8,67.059,5.647,3372,136.557
146.588232,19,19,18.521,10.571,3420.235,138.502
147.181818,2.4,2.4,71.169,6.078,3434.078,139.063
159.1036583,9,10,55.463,4.927,3834.537,147.172
169.343433,3,3,77.939,7.01,3951.172,160.002
172.765957,20,20,21.803,12.463,4031.016,163.236
180.943518,893.2,893.2,5.868,3.676,3850.448,140.143
182.637364,5,5,81.036,7.535,4261.319,172.563
196.1141005,16.2,18,12.949,0.2,4726.513,89.146
204.03971,4.4,4.4,93.673,8.453,4760.579,192.78
212.3602249,25.32,42.2,19.663,11.303,26618.348,508.55
223.263159,1.5,1.5,96.105,9.263,5209.263,210.948
269.761387,10.2,10.2,129.929,10.929,6570.5,254.87
356.6614001,9.54,10.6,21.928,0.1,8595.838,162.125
386.1664624,364.95,405.5,66,40.195,13004.317,526.609
432.128151,74.4,74.4,18.367,128.996,10410.811,547.612
1303.966293,83.6,83.6,19.663,11.303,26618.348,508.55
20947,1.08,1.2,10864,4,504844,9521.773
20947.15,1.26,1.4,10864,4,504844,9521.773
