load,windall,windallsigma,windnorth,windnorthsigma,windsouth,windsouthsigma
28874,7716,7266,6259,7670,1457,404
27397,7478,6856,6142,7219,1336,363
26870,7231,6586,5950,6836,1281,250
26704,7021,6306,5821,6580,1200,274
26816,6550,5597,5417,5805,1133,208
27297,6154,6250,4935,6492,1219,242
28529,5817,4792,4572,5117,1245,325
30262,4968,4308,3719,4710,1249,402
31863,4024,3066,2797,3606,1227,540
33287,3409,2393,1963,3151,1446,758
34038,2675,900,1262,1625,1413,899
33980,2264,848,1201,788,1063,740
33219,2151,800,968,934,1183,974
32109,1481,704,464,335,1017,1014
31056,1062,905,308,35,754,940
30110,895,837,270,13,625,850
29639,900,825,303,10,597,835
29654,823,791,210,2,613,793
30604,824,668,202,6,622,674
33245,839,520,303,43,536,563
33937,931,480,349,89,582,478
34015,1209,628,536,244,673,612
33675,1535,747,858,588,677,809
32766,1777,845,985,866,792,661
31712,1783,787,1049,958,734,811
30790,1743,826,1181,927,562,689
30372,1995,893,1556,1184,439,472
30324,1950,885,1555,829,395,210
30571,2664,1844,2139,2179,525,335
31077,2796,1648,2312,1941,484,293
32181,3316,2110,2624,2392,692,282
33684,3242,1717,2586,2017,656,300
34990,3512,2030,2825,2286,687,256
35454,3324,2125,2770,2277,554,152
34526,2508,1557,2081,1616,427,59
33097,1699,697,1399,671,300,26
31637,1600,557,1334,528,266,29
30469,1788,782,1439,756,349,26
29398,1759,717,1415,666,344,51
28518,1837,738,1475,659,362,79
28058,2154,871,1718,893,436,78
28135,2273,910,1857,962,416,76
29251,2265,913,1916,990,349,79
32429,2745,1445,2338,1517,407,72
33467,3439,2008,2999,2056,440,48
33535,5007,4135,4323,4255,684,120
32852,5816,5461,4891,5600,925,139
31135,6372,6061,5432,6183,940,122
29157,6655,6271,5716,6396,939,125
27995,6633,6156,5683,6230,950,74
27689,6602,6151,5737,6235,865,84
27646,6348,5873,5599,5915,749,42
28024,6384,6029,5687,6067,697,38
29324,6230,5649,5566,5692,664,43
32178,6081,5647,5381,5695,700,48
36513,5649,4772,4879,4820,770,48
37700,5746,4807,4929,4848,817,41
36251,5248,4011,4515,4031,733,20
35247,5067,3846,4436,3862,631,16
34410,4595,3145,3932,3155,663,10
33549,4484,2848,3702,2870,782,22
32702,4607,2831,3783,2961,824,130
